,artist_id,artist_name
0,557,Jorge Drexler
3,493,Jack Johnson
4,429,Gipsy Kings
5,399,Foo Fighters
12,392,Fleet Foxes
15,54,Andrew Bird
16,481,Incubus
17,545,John Mayer
18,529,Jimmy Eat World
29,634,Lesley Gore
31,257,Counting Crows
39,569,Justin Bieber
42,610,Kudai
52,797,Nirvana
53,810,OneRepublic
55,173,Breaking Benjamin
56,250,Coldplay
65,1035,Supermode
66,619,La Roux
84,1145,The Rolling Stones
94,575,Kajagoogoo
100,200,Cake
105,713,Mariah Carey
107,741,Metric
113,50,Amy Winehouse
114,367,Everything But The Girl
115,552,Jonas Brothers
116,1090,The Decemberists
117,1155,The Shins
122,701,Magtens Korridorer
123,869,R. Kelly
125,300,Deep Blue Something
128,1153,The Script
129,819,Owl City
135,2,3 Doors Down
136,394,Flogging Molly
143,1097,The Doors
144,285,Daughtry
147,266,Crowded House
152,1118,The Knife
169,735,Mel Waiters
190,264,Creedence Clearwater Revival
196,1135,The Ordinary Boys
197,1161,The Strokes
211,1074,The Black Keys
227,268,Culture Club
228,816,Otis Redding
229,852,Pixies
232,262,Cream
236,756,Modest Mouse
237,784,New Radicals
239,1005,Spoon
242,337,Edward Sharpe & The Magnetic Zeros
243,857,Poison
245,1051,Taylor Swift
251,1229,Two Door Cinema Club
258,395,Florence + The Machine
263,1256,Weezer
271,901,Rihanna
273,883,Ray LaMontagne
284,1114,The Killers
285,758,Montell Jordan
297,1063,The All-American Rejects
304,275,Damien Rice
311,748,Miley Cyrus
322,1278,Yeah Yeah Yeahs
323,1142,The Pussycat Dolls
328,1175,The Verve
333,70,Arctic Monkeys
339,491,Iyaz
342,361,Eternal
346,102,Barry Manilow
347,955,Selena Gomez & The Scene
348,238,Christina Aguilera
352,1037,Supertramp
353,304,Demi Lovato
355,24,Air Supply
358,936,Sammy Kershaw
362,184,Brooks & Dunn
364,170,Brad Paisley
372,212,Carpenters
375,1119,The Kooks
379,1124,The Mamas & The Papas
381,91,Babylon Circus
383,87,Avril Lavigne
387,976,Simple Minds
390,1176,The Wallflowers
393,1013,Steely Dan
394,1065,The Archies
399,1109,The Human League
409,420,Gary Allan
416,873,Radiohead
418,808,Olive
429,740,Metallica
439,159,Bon Jovi
446,833,Pearl Jam
451,790,Nickelback
464,365,Evanescence
468,587,Katy Perry
482,330,Eagle-Eye Cherry
499,902,Rise Against
508,508,Jason Derulo
517,353,Enrique Iglesias
538,214,Cartola
542,563,Juanes
549,928,Sade
552,254,Corinne Bailey Rae
557,648,Lisandro Meza
558,1020,Stevie B
560,46,Amanda Perez
572,544,John Legend
574,377,Fanny Lu
605,130,Billy Joel
614,560,Joshua Radin
616,842,Peter Murphy
618,320,Donavon Frankenreiter
620,421,Gavin DeGraw
628,352,Enigma
632,910,Rockwell
637,136,Black Eyed Peas
638,132,Billy Ray Cyrus
642,339,Efecto Mariposa
648,424,Genesis
649,673,Lou Christie
659,637,Lifehouse
660,248,Colbie Caillat
661,62,Antonello Venditti
662,185,Brother Beyond
667,653,Londonbeat
668,1009,Starship
669,274,Daddy Yankee
672,232,Chico Trujillo
674,669,Los Prisioneros
677,509,Jason Donovan
678,63,Apocalyptica
682,878,Rammstein
696,1038,Survivor
712,22,Aerosmith
726,698,Madonna
736,503,Janet Jackson
748,1021,Stevie Wonder
751,1246,Violent Femmes
763,895,Ricardo Arjona
764,1240,Vanessa Carlton
770,47,America
777,829,Passion Pit
778,5,4 Non Blondes
788,991,Snow Patrol
792,593,Kelly Clarkson
796,397,Fonseca
802,1237,Usher
810,439,Gondwana
821,121,Biffy Clyro
823,297,Death In Vegas
825,92,Bachman-Turner Overdrive
839,752,Missing Persons
841,196,Busted
842,140,Blind Melon
843,1284,Yvonne Elliman
845,463,Harvey Danger
847,1261,White Lion
849,1247,Vixen
851,679,Love Affair
852,168,Boyz II Men
864,743,Miami Horror
866,757,Modjo
870,240,Cinderella
871,601,Kim Carnes
876,460,Hard-FI
877,465,Heart
886,374,Faith No More
887,1077,The Breeders
893,498,James Morrison
901,826,Parachute
902,1200,Toby Keith
904,382,Feist
915,1192,Three Days Grace
916,381,Feeder
917,1104,The Fray
923,535,Joanna Wang
938,1120,The Last Goodnight
941,768,Muse
943,1272,Wolfsheim
944,1139,The Police
946,789,Nickel Creek
947,1080,The Calling
949,664,Los Fabulosos Cadillacs
951,452,Guy
954,67,Arcade Fire
960,709,Manuel Carrasco
967,685,Luke Bryan
974,1140,The Presets
987,267,Crystal Castles
990,921,Russ Ballard
992,325,Dropkick Murphys
1007,1018,Steve Miller Band
1013,309,Dexys Midnight Runners
1015,1250,Wall Of Voodoo
1017,920,Rush
1026,1264,Will Young
1030,263,Creed
1036,639,Lily Allen
1038,436,Godsmack
1039,1159,The Stone Roses
1043,384,Finch
1044,989,Sneaker Pimps
1047,760,Morcheeba
1050,386,Finger Eleven
1051,858,Portishead
1057,484,Infected Mushroom
1064,753,Moby
1074,93,Bacilos
1076,900,Ricky Martin
1077,776,Natasha Bedingfield
1079,924,S Club 7
1083,629,Leona Lewis
1086,963,Shakira
1101,894,Rhett Akins
1108,700,Magnet
1115,767,Muscles
1120,1089,The Cure
1127,347,Elvis Costello
1131,14,Aaliyah
1132,1087,The Cranberries
1135,946,Scissor Sisters
1141,1000,Soundgarden
1142,1134,The Offspring
1145,106,Bayside
1177,848,Phoenix
1188,152,Bob Marley & The Wailers
1191,554,Jonny Lang
1193,71,Aretha Franklin
1196,1025,Stray Cats
1199,205,Camper Van Beethoven
1200,81,Audio Adrenaline
1204,316,Dire Straits
1205,317,Dishwalla
1239,572,K-OS
1241,1275,Xavier Naidoo
1242,474,Holly Johnson
1243,985,Smash Mouth
1246,1001,Spandau Ballet
1250,640,Limahl
1255,839,Pet Shop Boys
1256,148,Blues Traveler
1263,1022,Sting
1268,116,Ben Lee
1288,951,Secondhand Serenade
1300,1190,Thompson Twins
1301,1052,Tears For Fears
1303,1231,UB40
1306,189,Bryan Ferry
1307,993,Soft Cell
1308,328,Duran Duran
1320,111,Beck
1322,345,Elliott Smith
1333,908,Robert Palmer
1335,334,Eddie Vedder
1342,821,PJ Harvey
1347,1218,Train
1348,1257,Westlife
1351,514,Jeff Buckley
1365,456,Hannah Montana
1378,618,La Renga
1388,666,Los Jaivas
1395,780,Neutral Milk Hotel
1398,143,Blondie
1401,1220,Traveling Wilburys
1402,318,Divinyls
1415,37,Alien Ant Farm
1419,423,Gene Clark
1431,202,Calexico
1435,216,Cat Power
1443,864,Puddle Of Mudd
1444,519,Jeremih
1460,996,Sonique
1470,1171,The Turtles
1471,359,Erykah Badu
1474,987,Smokey Robinson & The Miracles
1476,49,Amos Lee
1477,1055,Tenth Avenue North
1478,518,Jennifer Lopez
1485,751,Miranda Lambert
1486,1146,The Romantics
1495,957,September
1498,13,ATB
1499,144,Bloodhound Gang
1501,298,Deathstars
1506,485,Inspiral Carpets
1518,1227,Turisas
1530,1029,Sugababes
1533,408,Franz Ferdinand
1537,442,Gorillaz
1538,622,Ladytron
1587,41,All Time Low
1600,592,Kelis
1602,74,Ashanti
1609,139,Blackstreet
1632,178,Brian McKnight
1636,578,Kanye West
1638,26,Akon
1644,36,Alicia Keys
1659,635,Less Than Jake
1661,879,Rancid
1662,918,Roxy Music
1674,866,Pulp
1676,1079,The Buggles
1694,877,Ram Jam
1697,1157,The Specials
1704,990,Snot
1727,492,J. Holiday
1732,605,Kix
1774,1232,Ugly Kid Joe
1778,366,Everclear
1784,348,Elvis Presley
1787,1222,Travis Tritt
1791,187,Bruce Springsteen
1793,744,Michael Jackson
1805,613,L.A. Guns
1808,181,Britney Spears
1810,645,Lionel Richie
1823,769,Musical Youth
1842,1019,Steve Winwood
1848,868,Queen
1862,375,Faithless
1868,1126,The Marshall Tucker Band
1874,981,Skunk Anansie
1878,1010,Status Quo
1889,528,Jimmy Cliff
1896,151,Bo Kaspers Orkester
1907,311,Dido
1912,693,Macy Gray
1918,1241,Vanessa Paradis
1969,315,Dion & The Belmonts
1978,1207,Toni Braxton
1990,1053,Teena Marie
2015,982,Slade
2027,1141,The Psychedelic Furs
2029,42,Aloe Blacc
2042,573,Kaiser Chiefs
2054,288,David Bowie
2090,406,Frankie Goes To Hollywood
2098,61,Anthrax
2102,1262,Whitney Houston
2105,927,SWV
2109,736,Melanie Fiona
2113,269,Curiosity Killed The Cat
2118,898,Rick Astley
2130,1244,Village People
2137,558,Josh Turner
2139,409,Fred Neil
2152,129,Billy Idol
2155,876,Rainbow
2162,907,Robbie Williams
2165,95,Bad Company
2188,602,Kim Wilde
2190,799,No Doubt
2191,791,Nightwish
2209,947,Scooter
2218,861,Primus
2219,787,Newton Faulkner
2232,471,Hinder
2247,521,Jewel
2253,945,Scatman John
2260,654,Lonestar
2261,25,Air Traffic
2269,75,Ashlee Simpson
2282,628,LeAnn Rimes
2288,338,Edwyn Collins
2298,770,My Chemical Romance
2301,279,Darius Rucker
2302,1102,The Fortunes
2309,1081,The Cardigans
2318,979,Sinkope
2323,568,Just Jack
2338,598,Kid Cudi
2350,449,Guano Apes
2358,1199,Tiziano Ferro
2366,21,Adrian Gurvitz
2385,745,Michael Sembello
2387,795,Nine Inch Nails
2405,35,Alice In Chains
2440,890,Refused
2444,891,Reik
2450,307,Descendents
2463,400,Forever The Sickest Kids
2467,389,Fireflight
2481,149,Blur
2507,507,Jason Aldean
2540,344,Ellie Goulding
2541,676,Louis Armstrong
2556,992,Social Distortion
2562,287,David Ball
2569,1230,U2
2573,1116,The Kinks
2574,233,Chris Brown
2577,974,Silverchair
2590,487,Iration
2599,1027,Styx
2602,1070,The Avett Brothers
2614,141,Blitzen Trapper
2622,164,Boston
2627,1285,ZZ Top
2645,161,Bonnie Raitt
2648,112,Bee Gees
2650,1166,The Temptations
2655,719,Maroon 5
2658,458,Hanson
2669,721,Marvin Gaye
2670,261,Crazy Town
2680,218,Cazuza
2698,943,Savage Garden
2705,731,Mazzy Star
2714,473,Hole
2730,807,Oleta Adams
2732,739,Men Without Hats
2739,667,Los Lobos
2740,270,Cutting Crew
2745,830,Pat Benatar
2754,574,Kaizers Orchestra
2806,688,Lykke Li
2808,326,Drowning Pool
2833,551,Jona Lewie
2841,281,Darren Styles
2842,255,Cornelius Brothers & Sister Rose
2845,1059,Texas
2854,488,Irene Cara
2865,12,AFI
2869,1287,Ziggy Marley
2873,276,Daniel Bedingfield
2876,570,Justin Timberlake
2880,1271,Wolfmother
2891,931,Salt-N-Pepa
2893,1061,The Airborne Toxic Event
2908,86,Aventura
2921,52,Anberlin
2924,917,Roxette
2935,360,Estopa
2941,609,Kris Allen
2955,380,Faze-O
2961,809,Ollie & Jerry
2963,604,King Floyd
2964,798,Nneka
2968,672,Los Twist
2976,1201,Tokio Hotel
2985,483,Indigo Girls
2986,1040,Suzanne Vega
2993,1105,The Gaslight Anthem
3000,1174,The Velvet Underground
3012,272,DJ Aligator
3030,478,Huey Lewis & The News
3031,393,Fleetwood Mac
3059,571,K-Ci & JoJo
3066,515,Jefferson Airplane
3072,617,La Polla Records
3089,647,Lisa Loeb & Nine Stories
3091,369,Extreme
3092,636,Let Loose
3094,1217,Traffic
3113,708,Mansun
3117,844,Phil Collins
3119,217,Catupecu Machu
3122,870,R.I.O.
3123,97,Bag Raiders
3126,998,Soul Asylum
3127,497,James
3128,862,Prince
3131,271,Cyndi Lauper
3134,616,La Mosca Tse-Tse
3155,594,Kenny Loggins
3158,58,Angus & Julia Stone
3166,1115,The Kingsmen
3199,82,Audioslave
3216,585,Katatonia
3232,650,Litfiba
3233,1064,The Animals
3254,747,Miike Snow
3257,781,New Found Glory
3318,242,"Clarence ""Frogman"" Henry"
3337,930,Saliva
3340,856,Player
3349,467,Heideroosjes
3352,1213,Toots Hibbert
3355,378,Fast Food Rockers
3362,1127,The Maytals
3364,68,Arcadia
3365,1068,The Asteroids Galaxy Tour
3374,811,Orgy
3377,620,La Vela Puerca
3390,357,Eric Church
3394,871,REO Speedwagon
3413,670,Los Rodriguez
3422,812,Orishas
3423,838,Pereza
3435,1211,Tony Dize
3438,188,Bryan Adams
3446,292,David Wilcox
3448,1107,The Grass Roots
3453,1110,The Isley Brothers
3468,973,Silk
3478,1008,Stan Rogers
3480,591,Keith Whitley
3489,983,Slayer
3493,1265,William Bell
3497,404,Francisca Valenzuela
3507,1259,Wheatus
3513,724,Matthew Good Band
3516,723,Matthew Good
3523,659,Los Abuelos De La Nada
3549,742,Mew
3575,512,Jean-Jacques Goldman
3588,652,Live
3609,444,Grant Lee Buffalo
3615,210,Carla Thomas
3632,988,Smokie
3679,142,Bloc Party
3680,79,Atomic Kitten
3693,145,Blue October
3694,720,Martina McBride
3698,644,Linkin Park
3717,204,Cameo
3719,691,MGMT
3772,363,Europe
3773,371,F.I.R.
3789,806,Old Crow Medicine Show
3790,1254,We The Kings
3803,1279,Yellowcard
3825,1186,Thin Lizzy
3830,433,Glenn Lewis
3872,176,Brett Dennen
3888,1006,Squeeze
3919,801,Noisettes
3954,773,Nancy Ajram
3964,1103,The Fratellis
3966,64,April Wine
3970,690,MC Solaar
3976,615,LU
3978,154,Bobby Brown
3980,783,New Order
3982,746,Midlake
3983,505,Japan
4007,1026,Stryper
4009,625,Laura Marling
4018,517,Jennifer Hudson
4043,534,Joan Sebastian
4046,490,Ivy Queen
4067,310,Diana Ross
4092,197,CKY
4107,1111,The Jam
4111,970,Shelby Lynne
4112,1208,Toni Childs
4129,506,Jarabe De Palo
4148,333,Eddie Holland
4167,351,En Vogue
4170,935,Sammi Smith
4175,510,Jay & The Americans
4196,1196,Timbiriche
4213,611,Kula Shaker
4215,674,Lou Reed
4222,1084,The Chi-Lites
4223,1078,The Brothers Johnson
4234,1147,The Ronettes
4247,341,Electric Light Orchestra
4256,980,Ska-P
4267,1094,The Distillers
4282,1099,The Edwin Hawkins Singers
4284,135,Black Box
4285,905,Rob Zombie
4294,899,Rick James
4314,8,A Perfect Circle
4316,110,Bebel Gilberto
4334,730,Maywood
4335,1165,The Teardrop Explodes
4336,994,Soilwork
4339,1014,Steppenwolf
4348,56,Angelic Upstarts
4349,1011,Stealers Wheel
4413,1185,Thievery Corporation
4434,1225,True Faith
4445,536,Jodeci
4459,614,LCD Soundsystem
4462,349,Emilia
4540,511,Jean Ferrat
4600,9,A*Teens
4613,1286,Zee Avi
4619,453,Gwen Stefani
4628,774,Nancy Sinatra
4629,1046,TV On The Radio
4631,886,Rebelution
4642,150,Bo Diddley
4652,434,Gloria Gaynor
4657,155,Bobby Darin
4679,441,Gordon Lightfoot
4680,376,Fall Out Boy
4685,340,El Cuarteto De Nos
4697,772,NOFX
4703,800,No Te Va Gustar
4706,427,Gino Vannelli
4709,977,Sin Bandera
4717,172,Breakfast Club
4722,7,A Day To Remember
4749,501,Jamiroquai
4760,953,Selena
4779,313,Dierks Bentley
4809,962,Shai
4810,794,Nina Sky
4812,83,Avant
4824,1252,Warrant
4837,191,Buck-O-Nine
4847,476,Hot Chocolate
4907,555,Jordin Sparks
4920,581,Kari Tapio
4927,984,Slightly Stoopid
4930,223,Charles Wright & The Watts 103rd Street Rhythm Band
4942,1243,Vern Gosdin
4977,295,DeBarge
4986,540,Joe Vasconcellos
4988,319,Don Tetto
5011,1178,The Weepies
5022,889,Reel Big Fish
5023,1130,The Mighty Mighty Bosstones
5024,1030,Sugarcult
5025,952,Seeed
5026,122,Big Bad Voodoo Daddy
5027,208,Carl Douglas
5036,65,Aqua
5076,1189,Thomas Dolby
5080,55,Andrew Gold
5082,884,Razorlight
5084,53,Andreas Johnson
5102,426,Gin Blossoms
5109,1198,Tito Rojas
5112,1154,The Shangri-Las
5126,468,Helen Reddy
5139,495,Jaguares
5141,1191,Thousand Foot Krutch
5157,941,Sarah McLachlan
5159,734,Meiju Suvas
5168,513,Jeannie C. Riley
5179,1205,Tom Waits
5192,260,Crash Test Dummies
5193,290,David Gray
5194,702,Maj Karma
5214,840,Pete Droge
5221,597,Keyshia Cole
5224,1270,Wizzard
5262,343,Eliza Doolittle
5268,925,SNAP!
5280,163,Bosson
5284,123,Big Star
5286,1125,The Marcels
5290,1132,The Monochrome Set
5296,1054,Temple Of The Dog
5309,314,Dion
5317,27,Alan Jackson
5318,323,Dr. Alban
5321,72,Army Of Lovers
5356,1058,Tevin Campbell
5372,623,Lamb
5377,438,Goldfrapp
5384,1162,The Subways
5398,1092,The Devil Makes Three
5411,118,Bernard Fanning
